timestamp,volume,vwap,open,close,high,low
2026-09-10 09:30:00-04:00,469637.78441,80.9928,80.995,81.005,81.015,80.97
2026-09-10 09:31:00-04:00,118916.176336,81.0098,81.0,81.02,81.03,80.99
2026-09-10 09:32:00-04:00,81739.95076,81.0192,81.02,81.01,81.0267,81.005
2026-09-10 09:33:00-04:00,63777.294786,81.0004,81.005,81.005,81.01,80.99
2026-09-10 09:34:00-04:00,98645.492668,80.9905,81.01,80.975,81.01,80.975
2026-09-10 09:35:00-04:00,239560.51455,80.9776,80.97,80.975,80.99,80.96
2026-09-10 09:36:00-04:00,136777.43144,80.9811,80.975,80.9791,80.995,80.9731
2026-09-10 09:37:00-04:00,126265.947344,80.9777,80.98,80.975,80.99,80.96
2026-09-10 09:38:00-04:00,135181.108823,80.9616,80.97,80.955,80.9762,80.94
2026-09-10 09:39:00-04:00,77138.450331,80.9531,80.9599,80.9501,80.96,80.945
2026-09-10 09:40:00-04:00,180388.790424,80.9426,80.96,80.94,80.96,80.92
2026-09-10 09:41:00-04:00,174025.569902,80.9403,80.935,80.955,80.955,80.935
2026-09-10 09:42:00-04:00,211265.68919,80.973,80.955,81.0099,81.0099,80.951303
2026-09-10 09:43:00-04:00,26815.856799,80.9857,81.0034,80.976655,81.005,80.97
2026-09-10 09:44:00-04:00,84001.259604,80.9655,80.98,80.955,80.98,80.955
2026-09-10 09:45:00-04:00,70475.554357,80.9682,80.959,80.975,80.98,80.95
2026-09-10 09:46:00-04:00,89748.089102,80.9767,80.975,80.975,80.99,80.965
2026-09-10 09:47:00-04:00,174659.227993,80.972,80.975,80.99,81.0063,80.95
2026-09-10 09:48:00-04:00,85379.479993,80.9912,80.99,80.995,81.0,80.98
2026-09-10 09:49:00-04:00,120372.708942,80.9772,80.99,80.9699,80.99,80.96
2026-09-10 09:50:00-04:00,67650.177497,80.9538,80.97,80.95,80.97,80.94
2026-09-10 09:51:00-04:00,211372.810784,80.9298,80.945,80.915,80.955,80.915
2026-09-10 09:52:00-04:00,249340.110045,80.9255,80.9136,80.955,80.955,80.9
2026-09-10 09:53:00-04:00,155429.782737,80.9564,80.96,80.95,80.965,80.945
2026-09-10 09:54:00-04:00,68122.429811,80.9506,80.95,80.942,80.956,80.94
2026-09-10 09:55:00-04:00,61862.215581,80.9447,80.945,80.955,80.955,80.93
2026-09-10 09:56:00-04:00,223548.18792,80.9663,80.955,80.9795,80.99,80.955
2026-09-10 09:57:00-04:00,65481.405188,80.9831,80.98,80.99,81.0,80.97
2026-09-10 09:58:00-04:00,35451.901346,80.9931,80.9801,80.985,81.0,80.98
2026-09-10 09:59:00-04:00,36561.400014,80.9917,80.985,80.995,81.0,80.98
2026-09-10 10:00:00-04:00,123795.340262,81.0019,81.0,80.985,81.02,80.98
2026-09-10 10:01:00-04:00,93346.387961,81.0173,80.985,81.03,81.04,80.98
2026-09-10 10:02:00-04:00,160779.142477,81.0538,81.035,81.0416,81.08,81.035
2026-09-10 10:03:00-04:00,44334.240665,81.0304,81.04,81.03,81.045,81.02
2026-09-10 10:04:00-04:00,63024.615262,81.0204,81.0299,81.01,81.035,81.01
2026-09-10 10:05:00-04:00,55952.486381,81.0282,81.0188,81.01,81.045,81.01
2026-09-10 10:06:00-04:00,42030.595274,81.0216,81.02,81.031,81.035,81.01
2026-09-10 10:07:00-04:00,53285.59681,81.0343,81.03,81.02,81.048,81.02
2026-09-10 10:08:00-04:00,80902.501894,81.0415,81.02,81.045,81.05,81.02
2026-09-10 10:09:00-04:00,68895.818464,81.0377,81.045,81.02,81.045,81.02
2026-09-10 10:10:00-04:00,155548.346578,81.0436,81.03,81.045,81.055,81.03
2026-09-10 10:11:00-04:00,106228.556505,81.0508,81.045,81.075,81.0764,81.035
2026-09-10 10:12:00-04:00,74264.985916,81.075,81.075,81.0899,81.09,81.06
2026-09-10 10:13:00-04:00,121197.35421,81.0963,81.085,81.095,81.1099,81.085
2026-09-10 10:14:00-04:00,68820.995706,81.0688,81.095,81.06,81.095,81.0539
2026-09-10 10:15:00-04:00,56193.353901,81.0682,81.07,81.075,81.075,81.06
2026-09-10 10:16:00-04:00,125069.654938,81.0767,81.07,81.085,81.09,81.065
2026-09-10 10:17:00-04:00,277169.475595,81.0777,81.085,81.055,81.09,81.05
2026-09-10 10:18:00-04:00,167751.017946,81.0843,81.06,81.1,81.1,81.06
2026-09-10 10:19:00-04:00,152080.367389,81.1346,81.095,81.14,81.16,81.095
2026-09-10 10:20:00-04:00,240312.672225,81.1687,81.14,81.181,81.19,81.14
2026-09-10 10:21:00-04:00,73488.322867,81.1879,81.185,81.1899,81.2,81.175
2026-09-10 10:22:00-04:00,80509.403992,81.1808,81.19,81.185,81.2,81.165
2026-09-10 10:23:00-04:00,60007.514457,81.1824,81.18,81.175,81.195,81.17
2026-09-10 10:24:00-04:00,448487.728395,81.2194,81.1798,81.24,81.26,81.16
2026-09-10 10:25:00-04:00,169234.665631,81.2396,81.24,81.21,81.265,81.21
2026-09-10 10:26:00-04:00,146373.686108,81.1843,81.2035,81.17,81.2099,81.17
2026-09-10 10:27:00-04:00,109141.104774,81.1566,81.16,81.15,81.17,81.15
2026-09-10 10:28:00-04:00,61012.669782,81.1598,81.155,81.16,81.1699,81.1501
2026-09-10 10:29:00-04:00,80568.147036,81.1593,81.16,81.155,81.1699,81.15
2026-09-10 10:30:00-04:00,44170.596203,81.1543,81.16,81.15,81.17,81.139
2026-09-10 10:31:00-04:00,33570.010873,81.1494,81.15,81.145,81.155,81.1413
2026-09-10 10:32:00-04:00,134942.512392,81.1143,81.14,81.1139,81.14,81.0995
2026-09-10 10:33:00-04:00,272020.487337,81.1004,81.11,81.09,81.115,81.085
2026-09-10 10:34:00-04:00,192911.196608,81.0806,81.09,81.06,81.0998,81.06
2026-09-10 10:35:00-04:00,56921.221442,81.0689,81.055,81.08,81.08,81.055
2026-09-10 10:36:00-04:00,27697.264912,81.0872,81.0785,81.1,81.11,81.075
2026-09-10 10:37:00-04:00,80738.347328,81.1024,81.1,81.1095,81.115,81.0801
2026-09-10 10:38:00-04:00,112653.459684,81.0945,81.11,81.11,81.115,81.08
2026-09-10 10:39:00-04:00,41606.142005,81.1001,81.11,81.09,81.115,81.085
2026-09-10 10:40:00-04:00,50506.267235,81.0977,81.09,81.09,81.11,81.08
2026-09-10 10:41:00-04:00,35386.678665,81.0851,81.09,81.08,81.1,81.07
2026-09-10 10:42:00-04:00,38362.832913,81.0746,81.085,81.0601,81.0895,81.06
2026-09-10 10:43:00-04:00,26174.301853,81.0577,81.0687,81.0513,81.0687,81.05
2026-09-10 10:44:00-04:00,84246.751848,81.0627,81.05,81.07,81.0857,81.045
2026-09-10 10:45:00-04:00,38252.726627,81.0518,81.07,81.04,81.07,81.035
2026-09-10 10:46:00-04:00,9665.573457,81.0436,81.04,81.045,81.05,81.04
2026-09-10 10:47:00-04:00,43365.109342,81.0375,81.04,81.02,81.05,81.02
2026-09-10 10:48:00-04:00,49189.497768,81.0494,81.02,81.06,81.06,81.02
2026-09-10 10:49:00-04:00,29800.021419,81.0699,81.06,81.075,81.08,81.06
2026-09-10 10:50:00-04:00,31526.843509,81.0624,81.075,81.057495,81.075,81.055
2026-09-10 10:51:00-04:00,68527.889352,81.0848,81.06,81.09,81.1,81.055
2026-09-10 10:52:00-04:00,23058.656294,81.084,81.09,81.085,81.095,81.08
2026-09-10 10:53:00-04:00,46140.201979,81.0898,81.085,81.085,81.1,81.08
2026-09-10 10:54:00-04:00,231770.486255,81.0617,81.085,81.07,81.085,81.06
2026-09-10 10:55:00-04:00,87812.18811,81.0793,81.0777,81.075,81.085,81.07
2026-09-10 10:56:00-04:00,76342.31511,81.0796,81.07,81.09,81.09,81.07
2026-09-10 10:57:00-04:00,45161.556821,81.0901,81.09,81.0869,81.095,81.08
2026-09-10 10:58:00-04:00,32209.46388,81.0835,81.085,81.08,81.09,81.08
2026-09-10 10:59:00-04:00,234249.485609,81.0878,81.09,81.07,81.09,81.065
2026-09-10 11:00:00-04:00,59726.929836,81.0701,81.065,81.065,81.08,81.06
2026-09-10 11:01:00-04:00,53536.744698,81.04,81.0699,81.025,81.07,81.025
2026-09-10 11:02:00-04:00,140597.436824,81.0113,81.02,81.015,81.025,81.004
2026-09-10 11:03:00-04:00,325734.357905,81.0203,81.015,81.029,81.03,81.0002
2026-09-10 11:04:00-04:00,222827.471292,81.0298,81.03,81.03,81.04,81.02
2026-09-10 11:05:00-04:00,435456.622677,81.0481,81.03,81.055,81.06,81.03
2026-09-10 11:06:00-04:00,334325.868227,81.0528,81.055,81.06,81.06,81.04
2026-09-10 11:07:00-04:00,53396.707086,81.0497,81.055,81.045,81.06,81.04
2026-09-10 11:08:00-04:00,41637.785447,81.0402,81.04,81.0385,81.05,81.035
2026-09-10 11:09:00-04:00,50339.433187,81.0306,81.03,81.028769,81.04,81.02
2026-09-10 11:10:00-04:00,39869.181336,81.0456,81.025,81.05,81.06,81.025
2026-09-10 11:11:00-04:00,29415.04724,81.0396,81.06,81.02,81.06,81.02
2026-09-10 11:12:00-04:00,40867.493109,81.0194,81.02,81.02,81.025,81.01
2026-09-10 11:13:00-04:00,224288.055549,80.9981,81.02,81.005,81.03,80.975
2026-09-10 11:14:00-04:00,38876.448257,81.0021,81.0,81.0,81.0101,80.995
