timestamp,volume,vwap,open,close,high,low
2026-09-10 09:30:00-04:00,615359.788685,758.0631,758.03,757.975,758.4,757.8
2026-09-10 09:31:00-04:00,287390.697499,757.8058,757.96,757.92,758.0,757.65
2026-09-10 09:32:00-04:00,310026.028542,757.8579,757.91,757.88,758.1,757.61
2026-09-10 09:33:00-04:00,270668.393802,757.8086,757.88,758.0,758.05,757.66
2026-09-10 09:34:00-04:00,231188.357767,758.0004,758.0,757.76,758.18,757.7
2026-09-10 09:35:00-04:00,143373.324272,757.9882,757.8,758.0154,758.2,757.55
2026-09-10 09:36:00-04:00,145225.681947,758.3434,757.99,758.31,758.555,757.98
2026-09-10 09:37:00-04:00,72612.140606,758.1161,758.32,758.09,758.445,757.82
2026-09-10 09:38:00-04:00,66819.160468,758.1997,758.05,758.25,758.35,758.03
2026-09-10 09:39:00-04:00,118410.788002,758.3423,758.25,758.43,758.5266,758.105
2026-09-10 09:40:00-04:00,243751.348104,760.4109,758.42,758.46,758.7,758.22
2026-09-10 09:41:00-04:00,136593.241648,758.5303,758.46,758.461,758.74,758.262
2026-09-10 09:42:00-04:00,206531.389249,760.753,758.46,758.36,758.6841,758.14
2026-09-10 09:43:00-04:00,202111.302576,760.8446,758.345,758.51,758.71,758.3
2026-09-10 09:44:00-04:00,133738.247051,758.2606,758.49,758.135,758.6,758.07
2026-09-10 09:45:00-04:00,901316.523564,758.5499,758.135,758.485,758.51,758.1
2026-09-10 09:46:00-04:00,343145.581444,759.9277,758.485,758.77,758.8,758.41
2026-09-10 09:47:00-04:00,110214.924092,758.7042,758.74,758.73,758.82,758.57
2026-09-10 09:48:00-04:00,72802.839093,758.4107,758.67,758.44,758.755,758.21
2026-09-10 09:49:00-04:00,531220.466623,760.4054,758.425,758.645,758.98,758.3268
2026-09-10 09:50:00-04:00,151773.923543,758.2496,758.64,758.030766,758.86,757.86
2026-09-10 09:51:00-04:00,241475.410319,757.6813,758.01,757.43,758.02,757.28
2026-09-10 09:52:00-04:00,246418.247122,757.4137,757.42,757.55,757.59,757.261
2026-09-10 09:53:00-04:00,95305.241363,757.494,757.52,757.49,757.61,757.39
2026-09-10 09:54:00-04:00,87556.023987,757.5811,757.49,757.32,757.705,757.305
2026-09-10 09:55:00-04:00,145728.673405,757.1463,757.35,757.04,757.36,756.96
2026-09-10 09:56:00-04:00,153002.995053,756.9649,757.01,757.11,757.15,756.82
2026-09-10 09:57:00-04:00,135655.29847,757.1224,757.12,757.05,757.32,756.94
2026-09-10 09:58:00-04:00,115071.496014,757.0067,757.05,756.805,757.11,756.7722
2026-09-10 09:59:00-04:00,264050.150126,756.7184,756.81,756.78,756.92,756.7022
2026-09-10 10:00:00-04:00,124627.240364,757.0377,756.752,757.02,757.31,756.74
2026-09-10 10:01:00-04:00,148028.439065,757.2903,757.015,757.545,757.55,757.0
2026-09-10 10:02:00-04:00,308329.706486,759.5253,757.55,757.55,757.77,757.45
2026-09-10 10:03:00-04:00,101829.416778,757.4656,757.56,757.58,757.66,757.26
2026-09-10 10:04:00-04:00,82633.828679,757.4109,757.59,757.28,757.6,757.26
2026-09-10 10:05:00-04:00,68624.101548,757.2405,757.29,757.16,757.39,757.13
