timestamp,open,high,low,close,volume
2023-12-15,37252.0,37438.0,36996.44921875,36996.44921875,158088.0
2023-12-18,37660.0,37772.0,37646.0,37678.0,93800.0
2023-12-19,37662.0,37940.0,37637.0,37931.0,91047.0
2023-12-20,37918.0,38012.0,37390.0,37445.0,142851.0
2023-12-21,37467.0,37765.0,37462.0,37756.0,141401.0
2023-12-22,37701.0,37878.0,37585.0,37740.0,106912.0
2023-12-26,37694.0,37962.0,37693.0,37894.0,55134.0
2023-12-27,37914.0,38026.0,37818.0,38006.0,90396.0
2023-12-28,38010.0,38089.0,37925.0,38029.0,78092.0
2023-12-29,38028.0,38089.0,37841.0,38012.0,91586.0
2024-01-02,37982.0,38113.0,37758.0,37993.0,149794.0
2024-01-03,38001.0,38014.0,37664.0,37697.0,167097.0
2024-01-04,37714.0,37985.0,37699.0,37715.0,130813.0
2024-01-05,37751.0,37882.0,37504.0,37719.0,150701.0
2024-01-08,37674.0,37946.0,37470.0,37933.0,129740.0
2024-01-09,37899.0,37902.0,37607.0,37763.0,125237.0
2024-01-10,37743.0,37984.0,37698.0,37936.0,117172.0
2024-01-11,37921.0,38038.0,37627.0,37927.0,180614.0
2024-01-12,37900.0,38031.0,37651.0,37792.0,165079.0
2024-01-16,37737.0,37830.0,37388.0,37553.0,222543.0
2024-01-17,37541.0,37559.0,37315.0,37458.0,142478.0
2024-01-18,37453.0,37708.0,37303.0,37659.0,161810.0
2024-01-19,37645.0,38133.0,37597.0,38045.0,164024.0
2024-01-22,38048.0,38302.0,38048.0,38199.0,133217.0
2024-01-23,38196.0,38209.0,37976.0,38089.0,106698.0
2024-01-24,38103.0,38253.0,37950.0,37979.0,140541.0
2024-01-25,38056.0,38219.0,37911.0,38210.0,153939.0
2024-01-26,38159.0,38374.0,38050.0,38258.0,132494.0
2024-01-29,38209.0,38498.0,38157.0,38488.0,96393.0
2024-01-30,38432.0,38644.0,38386.0,38612.0,107240.0
2024-01-31,38568.0,38720.0,38247.0,38280.0,183773.0
2024-02-01,38288.0,38661.0,38212.0,38625.0,151960.0
2024-02-02,38598.0,38892.0,38433.0,38765.0,150153.0
2024-02-05,38753.0,38797.0,38310.0,38466.0,145439.0
2024-02-06,38451.0,38633.0,38367.0,38613.0,110199.0
2024-02-07,38591.0,38843.0,38546.0,38774.0,107428.0
2024-02-08,38789.0,38847.0,38627.0,38824.0,92746.0
2024-02-09,38795.0,38979.0,38645.0,38748.0,109918.0
2024-02-12,38713.0,39012.0,38679.0,38884.0,101088.0
2024-02-13,38863.0,38897.0,38095.0,38333.0,193343.0
2024-02-14,38337.0,38526.0,38255.0,38494.0,131924.0
2024-02-15,38490.0,38866.0,38455.0,38858.0,123765.0
2024-02-16,38858.0,38909.0,38653.0,38697.0,129456.0
2024-02-20,38658.0,38747.0,38523.0,38642.0,182425.0
2024-02-21,38677.0,38749.0,38400.0,38677.0,138637.0
2024-02-22,38636.0,39214.0,38633.0,39123.0,161911.0
2024-02-23,39102.0,39343.0,39087.0,39189.0,117174.0
2024-02-26,39187.0,39290.0,39070.0,39116.0,86428.0
2024-02-27,39097.0,39154.0,38911.0,39016.0,105461.0
2024-02-28,38988.0,39002.0,38789.0,38993.0,108838.0
2024-02-29,38911.0,39123.0,38837.0,39043.0,147273.0
2024-03-01,39019.0,39172.0,38892.0,39142.0,141434.0
2024-03-04,39114.0,39125.0,38906.0,39022.0,109861.0
2024-03-05,38995.0,38995.0,38478.0,38607.0,173258.0
2024-03-06,38617.0,38901.0,38584.0,38706.0,163074.0
2024-03-07,38706.0,38944.0,38548.0,38826.0,134592.0
2024-03-08,38847.0,39008.0,38630.0,38756.0,202657.0
2024-03-11,38821.0,38821.0,38820.0,38797.0,120299.0
2024-03-12,39023.0,39023.0,39003.0,39032.0,72661.0
2024-03-13,39090.0,39104.0,39090.0,39067.0,31585.0
2024-03-14,39090.0,39244.0,38704.0,38913.0,35549.0
2024-03-15,38892.0,38994.0,38691.1796875,38691.1796875,168986.0
2024-03-18,39139.0,39337.0,39089.0,39223.0,118699.0
2024-03-19,39239.0,39556.0,39115.0,39539.0,140885.0
2024-03-20,39545.0,39988.0,39425.0,39940.0,157550.0
2024-03-21,39980.0,40316.0,39948.0,40206.0,145317.0
2024-03-22,40231.0,40267.0,39820.0,39868.0,127832.0
2024-03-25,39848.0,39853.0,39681.0,39699.0,96100.0
2024-03-26,39711.0,39822.0,39657.0,39680.0,96699.0
2024-03-27,39754.0,40181.0,39742.0,40144.0,128240.0
2024-03-28,40140.0,40240.0,40086.0,40176.0,105260.0
2024-04-01,40158.0,40358.0,39709.0,39894.0,122809.0
2024-04-02,39789.0,39805.0,39368.0,39508.0,145100.0
2024-04-03,39512.0,39634.0,39345.0,39482.0,133153.0
2024-04-04,39501.0,39759.0,38876.0,38916.0,187344.0
2024-04-05,38921.0,39369.0,38864.0,39223.0,199870.0
2024-04-08,39280.0,39344.0,39117.0,39219.0,123197.0
2024-04-09,39248.0,39307.0,38873.0,39196.0,173286.0
2024-04-10,39220.0,39345.0,38590.0,38757.0,210137.0
2024-04-11,38716.0,38880.0,38472.0,38732.0,189695.0
2024-04-12,38756.0,38836.0,38132.0,38238.0,184075.0
2024-04-15,38150.0,38637.0,37911.0,37993.0,222754.0
2024-04-16,37993.0,38284.0,37838.0,38046.0,220450.0
2024-04-17,38080.0,38257.0,37842.0,37990.0,203274.0
2024-04-18,37987.0,38317.0,37900.0,38007.0,182149.0
2024-04-19,38008.0,38344.0,37463.0,38208.0,222804.0
2024-04-22,38271.0,38682.0,38208.0,38468.0,149913.0
2024-04-23,38507.0,38789.0,38431.0,38726.0,119780.0
2024-04-24,38749.0,38801.0,38520.0,38680.0,137058.0
2024-04-25,38577.0,38637.0,37944.0,38288.0,176050.0
2024-04-26,38343.0,38535.0,38242.0,38441.0,129528.0
2024-04-29,38490.0,38593.0,38392.0,38559.0,97404.0
2024-04-30,38576.0,38576.0,37925.0,37993.0,146966.0
2024-05-01,37923.0,38527.0,37866.0,38069.0,174074.0
2024-05-02,38126.0,38643.0,38037.0,38382.0,149296.0
2024-05-03,38642.0,38958.0,38584.0,38832.0,148517.0
2024-05-06,38920.0,39028.0,38834.0,38997.0,77489.0
2024-05-07,38985.0,39127.0,38976.0,39027.0,79867.0
2024-05-08,39016.0,39236.0,38936.0,39195.0,91392.0
2024-05-09,39198.0,39592.0,39086.0,39536.0,105728.0
2024-05-10,39562.0,39718.0,39531.0,39642.0,98767.0
2024-05-13,39620.0,39781.0,39519.0,39559.0,85734.0
2024-05-14,39542.0,39736.0,39405.0,39677.0,109444.0
2024-05-15,39680.0,40063.0,39652.0,40039.0,103687.0
2024-05-16,40016.0,40191.0,39979.0,40010.0,120771.0
2024-05-17,39995.0,40147.0,39955.0,40137.0,89428.0
2024-05-20,40133.0,40213.0,39919.0,39944.0,107155.0
2024-05-21,39946.0,40034.0,39907.0,40006.0,90808.0
2024-05-22,39992.0,40033.0,39668.0,39783.0,125631.0
2024-05-23,39730.0,39882.0,39114.0,39153.0,193140.0
2024-05-24,39143.0,39315.0,39105.0,39157.0,108398.0
2024-05-28,39163.0,39235.0,38787.0,38944.0,136293.0
2024-05-29,38920.0,38920.0,38221.0,38524.0,131272.0
2024-05-30,38268.0,38312.0,38111.0,38231.0,140013.0
2024-05-31,38225.0,38858.0,38139.0,38791.0,162087.0
2024-06-03,38824.0,38919.0,38333.0,38656.0,159329.0
2024-06-04,38666.0,38878.0,38425.0,38787.0,128438.0
2024-06-05,38801.0,38937.0,38628.0,38884.0,129972.0
2024-06-06,38884.0,39092.0,38808.0,38955.0,148118.0
2024-06-07,38955.0,39174.0,38716.0,38857.0,158101.0
2024-06-10,38852.0,38945.0,38719.0,38929.0,107468.0
2024-06-11,38898.0,38932.0,38481.0,38794.0,133896.0
2024-06-12,38773.0,39193.0,38658.0,38752.0,192813.0
2024-06-13,38646.0,38650.0,38637.0,38677.0,148081.0
2024-06-14,38646.0,38674.0,38306.0,38605.0,144263.0
2024-06-17,38868.0,38868.0,38864.0,38818.0,94664.0
2024-06-18,38853.0,38853.0,38839.0,38859.0,50457.0
2024-06-20,38853.0,39259.0,38770.0,39147.0,40737.0
2024-06-21,39160.0,39261.94921875,39051.0,39261.94921875,120696.0
2024-06-24,39849.0,39871.0,39846.0,39844.0,132945.0
2024-06-25,39849.0,39928.0,39393.0,39526.0,138524.0
2024-06-26,39484.0,39586.0,39306.0,39540.0,108026.0
2024-06-27,39502.0,39505.0,39490.0,39550.0,111391.0
2024-06-28,39502.0,39819.0,39284.0,39469.0,163770.0
2024-07-01,39498.0,39506.0,39495.0,39511.0,147942.0
2024-07-02,39662.0,39662.0,39650.0,39688.0,112627.0
2024-07-03,39662.0,39763.0,39568.0,39636.0,83475.0
2024-07-05,39643.0,39781.0,39488.0,39695.0,122137.0
2024-07-08,39670.0,40006.0,39595.0,39650.0,125692.0
2024-07-09,39670.0,39818.0,39450.0,39596.0,128209.0
2024-07-10,39600.0,40067.0,39558.0,40049.0,121614.0
2024-07-11,40013.0,40200.0,39937.0,40089.0,160829.0
2024-07-12,40121.0,40572.0,40021.0,40301.0,150766.0
