timestamp,open,high,low,close,volume
2023-12-15,16587.0,16669.76953125,16557.009765625,16623.44921875,8377630000.0
2023-12-18,16631.109375,16764.3203125,16629.2890625,16729.80078125,5866080000.0
2023-12-19,16734.25,16813.009765625,16733.380859375,16811.849609375,5757180000.0
2023-12-20,16763.640625,16860.6796875,16552.060546875,16554.16015625,6294700000.0
2023-12-21,16719.609375,16768.01953125,16621.51953125,16757.41015625,5465640000.0
2023-12-22,16799.01953125,16839.25,16703.5703125,16777.400390625,4796600000.0
2023-12-26,16816.779296875,16907.509765625,16813.5703125,16878.4609375,6120600000.0
2023-12-27,16896.140625,16922.009765625,16859.55078125,16906.80078125,7480170000.0
2023-12-28,16963.51953125,16969.169921875,16891.3203125,16898.470703125,5090570000.0
2023-12-29,16902.439453125,16919.509765625,16757.890625,16825.9296875,5441060000.0
2024-01-02,16667.30078125,16686.599609375,16453.150390625,16543.939453125,5791170000.0
2024-01-03,16413.259765625,16471.080078125,16352.1396484375,16368.490234375,5449950000.0
2024-01-04,16290.7802734375,16419.439453125,16276.4296875,16282.009765625,5289220000.0
2024-01-05,16281.740234375,16415.390625,16249.1904296875,16305.98046875,5232820000.0
2024-01-08,16354.2197265625,16655.23046875,16349.3896484375,16649.869140625,6337770000.0
2024-01-09,16531.9609375,16710.880859375,16513.73046875,16678.69921875,5068410000.0
2024-01-10,16702.55078125,16827.369140625,16654.740234375,16793.05078125,4404590000.0
2024-01-11,16852.189453125,16898.16015625,16618.859375,16820.900390625,5044690000.0
2024-01-12,16855.0,16900.369140625,16776.919921875,16832.919921875,4958940000.0
2024-01-16,16775.099609375,16895.330078125,16726.58984375,16830.7109375,6386180000.0
2024-01-17,16705.509765625,16749.109375,16561.490234375,16736.279296875,5181740000.0
2024-01-18,16894.330078125,16996.98046875,16818.130859375,16982.2890625,5587440000.0
2024-01-19,17060.140625,17317.2109375,17041.849609375,17314.0,5604950000.0
2024-01-22,17403.619140625,17450.30078125,17309.869140625,17330.380859375,5456240000.0
2024-01-23,17346.94921875,17410.859375,17286.01953125,17404.2109375,5207680000.0
2024-01-24,17562.3203125,17665.259765625,17481.970703125,17499.30078125,4983210000.0
2024-01-25,17589.26953125,17631.33984375,17430.369140625,17516.990234375,5281570000.0
2024-01-26,17432.869140625,17514.759765625,17395.5390625,17421.009765625,4510530000.0
2024-01-29,17438.029296875,17603.94921875,17414.619140625,17596.26953125,4979310000.0
2024-01-30,17556.490234375,17578.4609375,17443.76953125,17476.7109375,4719240000.0
